楼主ID,楼主昵称,楼主性别,话题内容
1688864597,河南之声,m,【#AI为Cindy作歌劝退卷王# 人非Ai不能无休止的工作】9月9日，3unshine 组合的Cindy发布了一首由AI 创作的新歌《今年中秋不调休》，歌词吐槽了身边许多的卷王们：“人非AI不能无休止的工作，你的生命被允许犯错”。曲风也是魔性洗脑，网友听了后调侃：#AI创作会是华语乐坛的新出路吗#。除了歌曲创作，用AI能力进行的内容生产也越来越多：文心一格快速作画、AI进行视频剪辑等。随着AI开发和应用门槛的降低，AIGC涉及的领域也会更广泛。 河南新闻广播的微博视频
2928445695,职场生活王女士,f,#AI为Cindy作歌劝退卷王# 从来没有想到，AI还能给我们带来了音乐了呀，未来的音乐会变成什么样子的呢？也是非常期待。#AI创作会是华语乐坛的新出路吗#   
7359924330,人间趣事bot,m,#AI为Cindy作歌劝退卷王#使用AI辅助我们创作确实是一个很好的办法，但是如果大家都用的话，那创作出来的歌不都是会差不多吗#AI创作会是华语乐坛的新出路吗# 
7673566647,运气百分百吖,f,#AI为Cindy作歌劝退卷王#虽然AI确实在生活中帮到了我们很多，但是也不能完全依靠吧  这样我感觉只有大同小异了#AI创作会是华语乐坛的新出路吗#   
7751587432,QiuQiu爱旺仔,f,#AI为Cindy作歌劝退卷王#每一个人听完这首歌都有一种不一样的体验 不得不佩服现在AI的能力#AI创作会是华语乐坛的新出路吗#   
7384538059,小小依赖吖,m,#AI为Cindy作歌劝退卷王#用AI创作歌曲这也是一个趋势吧  现在的人工智能发展的越来越好了  不得不让我对他们改变看法#AI创作会是华语乐坛的新出路吗#   
5367535793,美人过眼云烟100,m,#AI为Cindy作歌劝退卷王#不得不说人工智能发展的速度确实是很快的，现在的智能都是越来越厉害了#AI创作会是华语乐坛的新出路吗#   
7549499356,昨晚的夜色很美,f,#AI为Cindy作歌劝退卷王#现在的AI也太优秀了，做出来的歌曲我们都特别喜欢，希望以后给我们带来更多动听的歌曲。#AI创作会是华语乐坛的新出路吗#   
5745959057,吃个柠檬百香果,m,#AI为Cindy作歌劝退卷王#这首歌的歌曲听的已经特别让人上头了，没想到现在的AI这么的优秀，歌曲很不错。#AI创作会是华语乐坛的新出路吗#   
6140543187,小丸纸也有桃花耶,m,#AI为Cindy作歌劝退卷王#这首歌听过之后确实有一些不同的感触，里面的歌词简直就是我的心声#AI创作会是华语乐坛的新出路吗#   
5216443681,简单的ting_,m,#AI为Cindy作歌劝退卷王#这真的太惊艳了吧 我没想到这个是ai创作的#AI创作会是华语乐坛的新出路吗# 
7389588785,再也不吃惹,m,#AI为Cindy作歌劝退卷王#真的太绝了吧 没想到现在ai都可以创作歌了嘛#AI创作会是华语乐坛的新出路吗#   
6272553587,怪叔叔一身仙女味,m,#AI为Cindy作歌劝退卷王#确实是很不错哎 ai现在都这么厉害了嘛#AI创作会是华语乐坛的新出路吗#   
7776430603,豆芽菜蘸大酱86,f,#AI为Cindy作歌劝退卷王#我觉得确实可以帮忙有灵感 但是我还是更喜欢歌手创作哎#AI创作会是华语乐坛的新出路吗#   
5957531350,娱影二哥,f,#AI为Cindy作歌劝退卷王#Al现在发展的真的是越来越优秀了，居然还可以去创作歌曲，现在的智能真的是我越来越好！#AI创作会是华语乐坛的新出路吗#  
6511133312,笑剧安利,f,#AI为Cindy作歌劝退卷王##AI创作会是华语乐坛的新出路吗#这个歌词写的是太贴近现在的生活了，不知道未来的会发展成什么样子呢，AI确实是值得期待的。   
2672516223,娱乐分百,m,#AI为Cindy作歌劝退卷王#这个创作的灵感会不会源源不断的，但是我觉得也不能完全依赖AI去做这个作曲#AI创作会是华语乐坛的新出路吗# 
6182346599,一笔一画的回忆,m,#AI为Cindy作歌劝退卷王#现在听这首歌的时候真的是感觉这首歌是独一无二的作品，非常的意外，这也太卷了#AI创作会是华语乐坛的新出路吗# 
7615748496,爱吃的青春,f,#AI为Cindy作歌劝退卷王#现在Al去创作一些歌曲都这么的有特点了，这真的是让人非常的有吸引力啊，这简直是太厉害了#AI创作会是华语乐坛的新出路吗# 
7769706938,庆庆是胖子,f,#AI为Cindy作歌劝退卷王#我真的是被惊艳到了旋律也非常的好，歌也挺好听的，真的是太厉害了Al 未来发展的趋势#AI创作会是华语乐坛的新出路吗# 
6483726538,幸福快乐的美一天22,f,#AI为Cindy作歌劝退卷王#这首歌曲真的是让我们感受到了不一样的体验呀，现在的人工智能技术发展的真的是太好了#AI创作会是华语乐坛的新出路吗# 
7625812597,青春世界啊,m,#AI为Cindy作歌劝退卷王#科技的发展真的是越来越好了，人工智能也越来越成熟了，这应该是未来发展的趋势#AI创作会是华语乐坛的新出路吗# 
6074580718,娱漫漫,m,#AI为Cindy作歌劝退卷王#使用AI辅助我们创作确实是一个很好的办法，但是如果大家都用的话，那创作出来的歌不都是会差不多吗，怎么能引领潮流呢？#AI创作会是华语乐坛的新出路吗# 
7503520806,时间还有谁,m,#AI为Cindy作歌劝退卷王#不得不说这个歌词写的也是非常的跟紧随时代的潮流的呀，听的也是非常的上头的。#AI创作会是华语乐坛的新出路吗#   
7199007062,漫后,m,#AI为Cindy作歌劝退卷王#不得不说现在的Cindy真的越来越自信了，这歌还是挺好听的，或许有可能会是新出路吧#AI创作会是华语乐坛的新出路吗#   
7747636053,卡卡卡卡西瓜卡,m,#AI为Cindy作歌劝退卷王#不知道以后的音乐会发展成什么样子，人的思想才华会枯竭，AI会不会呢？#AI创作会是华语乐坛的新出路吗#   
7657327656,等待日出_h,f,#AI为Cindy作歌劝退卷王#确实现在大家都太卷了，应该不会是新的出路吧，但或许可能会有一席之地的，歌还是不错的#AI创作会是华语乐坛的新出路吗#   
5571665999,奶茶味泡泡糖_,f,#AI为Cindy作歌劝退卷王#哇，确实有被惊艳到，这首歌还挺好听的啊，而且旋律什么的也刚刚好#AI创作会是华语乐坛的新出路吗#   
7605445074,我就是咖喱鸡,f,#AI为Cindy作歌劝退卷王#  已经没有什么是数字人不会的了，写歌写的比很多人都要写的好了#AI创作会是华语乐坛的新出路吗#   
6725932293,一起吃小鱼,f,#AI为Cindy作歌劝退卷王#   我感觉AI做的这个歌还挺可爱的，以后会不会给更多的歌手创作不同的歌曲#AI创作会是华语乐坛的新出路吗#   
7729764925,飞度千山看暮雪,f,#AI为Cindy作歌劝退卷王#确实，而且之前我也有看过一些ai的节目，现在的智能真的是我越来越赞了#AI创作会是华语乐坛的新出路吗#  
5819250453,学生段子君,m,#AI为Cindy作歌劝退卷王# 科技的发展真的是改变了我们的生活呀Al 未来发展的趋势！用AI辅助我们创作确实是一个很好的办法，但是如果大家都用的话，那创作出来的歌不都是会差不多吧#AI创作会是华语乐坛的新出路吗# 
5821445257,校园趣事君,m,#AI为Cindy作歌劝退卷王#不得不说，现在ai的效率确实挺高的，至少比以前有了很大的进步啊，还是挺看好的#AI创作会是华语乐坛的新出路吗# 
6579186503,吐槽笑三少,f,#AI为Cindy作歌劝退卷王#现在的人工智能发展的真的是越来越成熟了，科技的发展真的是改变了我们的生活呀！ 真的是无所不能啊#AI创作会是华语乐坛的新出路吗# 
5818871225,番茄体育,m,#AI为Cindy作歌劝退卷王#真的有被惊艳到！我觉得AI创作其实会是一个新的出路，如果大家都用AI的话，未来一定会给我们更多的精彩！#AI创作会是华语乐坛的新出路吗# 
7413630619,如若我描绘你,m,#AI为Cindy作歌劝退卷王#我认为AI创作其实不会是一个新的出路，如果大家都用AI的话，感觉以后的歌曲都是大同小异的了#AI创作会是华语乐坛的新出路吗# 
7731107914,童童是帅哥,f,#AI为Cindy作歌劝退卷王#Al创造的歌曲真的还是非常不错的，太魔性了，未来的发展一定会越来越好的#AI创作会是华语乐坛的新出路吗# 
7747636023,卡卡杜兰特,m,#AI为Cindy作歌劝退卷王#真的也是紧跟时尚潮流了吧，这一点还是非常的佩服了，以后会给我们带来更多好音乐吗？#AI创作会是华语乐坛的新出路吗#   
7413237487,吃最甜的枣,m,#AI为Cindy作歌劝退卷王#我还是觉得AI确实是有在生活中帮助到我们很多，现在甚至可以给我们创作，但是也不能完全的依靠AI#AI创作会是华语乐坛的新出路吗# 
7750748109,特大号卡卡,m,#AI为Cindy作歌劝退卷王#这个创作的灵感会不会源源不断的，不会枯竭了呢？也是非常的期待了呀。  音乐是不可缺少的部分。#AI创作会是华语乐坛的新出路吗#   
7519167443,Ohiohiiio,m,#AI为Cindy作歌劝退卷王#听了一下曲子是挺魔性的，但是我觉得也不能完全依赖AI去做这个作曲#AI创作会是华语乐坛的新出路吗# 
7748918339,霍元甲跳本草纲目,m,#AI为Cindy作歌劝退卷王#也是不得不佩服了呀，这个歌词也是非常敢了，AI写歌以后会不会是一种模式了呀？#AI创作会是华语乐坛的新出路吗#   
7752251992,小猫咪也很迷茫,m,#AI为Cindy作歌劝退卷王#人总会有灵感枯竭的时候的，所以ai创作未尝不是一条新的出路#AI创作会是华语乐坛的新出路吗#  
7643272721,我是小鱿鱼哟,f,#AI为Cindy作歌劝退卷王#真的是不敢相信啊，现在的科技的发展真的是太迅速了，Al唱歌已经非常的惊艳了，现在还可以作词作曲了#AI创作会是华语乐坛的新出路吗# 
7749124466,一起来看007,m,#AI为Cindy作歌劝退卷王#这个歌词也是非常有创意的呀，没有想到他们这么紧跟时尚潮流了呀，创作会带来什么样的惊喜呢？#AI创作会是华语乐坛的新出路吗#   
7769941692,明天元气满满,f,#AI为Cindy作歌劝退卷王#科技的发展真的是太厉害了，现在的Al都能写歌和作词了，我真的是被卷到了期待未来越来越好#AI创作会是华语乐坛的新出路吗# 
7752049884,月亮今天营业中,f,#AI为Cindy作歌劝退卷王#当人的创作进入瓶颈期的时候，或许就需要ai的作用了#AI创作会是华语乐坛的新出路吗#  
7725676950,嘀嘀咕咕的星星塔,m,#AI为Cindy作歌劝退卷王#我还是相信只有人写出来的歌词和曲子才更能深入人心，打动人，AI只能作为一个辅助的工具#AI创作会是华语乐坛的新出路吗# 
7444716120,委屈毛毛,m,#AI为Cindy作歌劝退卷王#听起来就很厉害的样子，人工智能发展的速度，果然是很快很快的#AI创作会是华语乐坛的新出路吗# 
6739081236,过气的哈密瓜,f,#AI为Cindy作歌劝退卷王#  数字人现在真的是什么都会干了，现在连写歌都已经不在话下了#AI创作会是华语乐坛的新出路吗# 
5197200853,偷偷告诉你一个小秘密,f,#AI为Cindy作歌劝退卷王#ai创造的歌曲确实还是挺好听的，不愧是大数据的产物#AI创作会是华语乐坛的新出路吗# 
6536496692,樱花玖玖爱养乐多,m,#AI为Cindy作歌劝退卷王#简直不敢相信现在的AI都可以写歌了，突然觉得未来AI真的是可以无所不能呀，真的是什么都可以做呀#AI创作会是华语乐坛的新出路吗# 
7725272752,第224颗橙子星球,m,#AI为Cindy作歌劝退卷王#人工智能发展的越来越快，我们确实是喜闻乐见，但是全靠AI来创作的话，感觉是不太现实理想的#AI创作会是华语乐坛的新出路吗# 
5969891126,快乐一小枚,f,#AI为Cindy作歌劝退卷王# 这个曲风还真的是有一点点的魔性，我觉得挺好玩的，以后说不定还会有AI创作出现#AI创作会是华语乐坛的新出路吗# 
7757507488,i养乐多的,m,#AI为Cindy作歌劝退卷王#现在科技已经可以到达这个地步了吗？我有点担心我以后还能不能找到工作了。#AI创作会是华语乐坛的新出路吗# 
